"gene","Symbol","log2FoldChange","padj"
"56300","IL36G",5.02944736028423,1.24291171987509e-214
"2706","GJB2",5.04602789799647,1.88845697096046e-192
"2171","FABP5",3.56581268136207,2.11731017409935e-182
"283748","PLA2G4D",4.04806860402777,9.15957084063113e-172
"8942","KYNU",4.8840075712691,4.08495973872713e-169
"9407","TMPRSS11D",7.50448238726744,1.39456027515381e-162
"7162","TPBG",2.36524003040387,1.11987271367419e-154
"100289462","DEFB4B",10.3741990356594,3.9345854641245e-153
"64581","CLEC7A",3.70752690365273,2.86621803302581e-149
"1673","DEFB4A",10.8790077628354,2.9711671487756e-149
